BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TEM_DADOS;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
1 - RIO AMAZONAS;;MT;APIACÁS;TELES PIRES;TELES PIRES;;1;Pluviométrica;957003;UHE TELES PIRES RIO APIACÁS;-91.922;-570.686;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/09/2013;30/09/2013;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=957003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=957003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=957003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=957003;-5.706.859.999.999.990;-9.192.199.999.999.950
1 - RIO AMAZONAS;;MT;COTRIGUAÇU;INMET;INMET;;;Pluviométrica;958001;COTRIGUAÇU;-99.167;-582.833;;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;;;;;;31/05/1987;31/05/1987;31/05/1987;31/05/1987;30/04/2007;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=958001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=958001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=958001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=958001;-5.828.329.999.999.990;-9.916.699.999.999.930
1 - RIO AMAZONAS;;MT;COTRIGUAÇU;ANA;CPRM;CPRM-GO;21;Pluviométrica;958002;COLNIZA;-94.561;-582.242;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/04/2000;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=958002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=958002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=958002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=958002;-5.822.419.999.999.990;-9.456.099.999.999.930
1 - RIO AMAZONAS;;MT;COTRIGUAÇU;ANA;CPRM;CPRM-GO;21;Pluviométrica;958004;COTRIGUAÇU;-99.133;-585.642;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/08/2004;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=958004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=958004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=958004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=958004;-5.856.419.999.999.990;-9.913.299.999.999.930
2 - RIO TOCANTINS;;MT;LUCIARA;ANA;CPRM;CPRM-GO;17;Pluviométrica;1050000;LUCIARA;-112.192;-506.686;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/07/1969;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1050000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1050000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1050000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1050000;-5.066.859.999.999.990;-11.219.199.999.999.900
2 - RIO TOCANTINS;;MT;SANTA TEREZINHA;CEMADEN;CEMADEN;;;Pluviométrica;1050003;SANTA TEREZINHA_Sede da Prefeitura Municipal;-104.696;-505.093;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2013;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1050003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1050003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1050003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1050003;-5.050.929.999.999.990;-10.469.599.999.999.900
2 - RIO TOCANTINS;;MT;PORTO ALEGRE DO NORTE;ANA;CPRM;CPRM-GO;17;Pluviométrica;1051001;PORTO ALEGRE DO NORTE;-108.672;-516.306;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/11/1983;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1051001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1051001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1051001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1051001;-5.163.059.999.999.990;-10.867.199.999.999.900
2 - RIO TOCANTINS;;MT;PORTO ALEGRE DO NORTE;SEMA-MT;HYDROCONSULT;;;Pluviométrica;1051002;PORTO ALEGRE DO NORTE;-108.731;-516.283;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/07/2011;;;;31/07/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1051002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1051002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1051002;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1051002;-5.162.829.999.999.990;-10.873.099.999.999.900
2 - RIO TOCANTINS;;MT;CONFRESA;CEMADEN;CEMADEN;;;Pluviométrica;1051003;CONFRESA_Parque de Exposições Agropecuário;-106.325;-515.838;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2013;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1051003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1051003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1051003;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1051003;-5.158.379.999.999.990;-10.632.499.999.999.900
2 - RIO TOCANTINS;;MT;VILA RICA;CEMADEN;CEMADEN;;;Pluviométrica;1051004;VILA RICA_CEI e Creche Lar Menino de Jesus;-100.184;-511.104;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2013;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1051004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1051004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1051004;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1051004;-5.111.039.999.999.990;-10.018.399.999.999.900
1 - RIO AMAZONAS;;MT;SÃO JOSÉ DO XINGU;ANA;HYDROCONSULT;;1;Pluviométrica;1052000;VILA SÃO JOSÉ DO XINGU;-108.072;-527.461;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/05/1976;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1052000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1052000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1052000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1052000;-52.746.099.999.999.900;-10.807.199.999.999.900
1 - RIO AMAZONAS;;MT;PORTO ALEGRE DO NORTE;ANA;HYDROCONSULT;;3;Pluviométrica;1052001;RIO COMANDANTE FONTOURA;-105.547;-521.833;;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;30/09/1999;;;;30/09/2004;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1052001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1052001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1052001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1052001;-52.183.299.999.999.900;-10.554.699.999.999.900
1 - RIO AMAZONAS;;MT;MARCELÂNDIA;ANA;HYDROCONSULT;;1;Pluviométrica;1053001;FAZENDA SANTA EMÍLIA;-105.392;-536.089;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/05/1976;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1053001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1053001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1053001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1053001;-5.360.889.999.999.990;-10.539.199.999.999.900
1 - RIO AMAZONAS;;MT;MARCELÂNDIA;ANA;CPRM;CPRM-GO;23;Pluviométrica;1054000;AGROPECUÁRIA CAJABI;-107.461;-545.461;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/07/1976;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1054000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1054000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1054000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1054000;-5.454.609.999.999.990;-10.746.099.999.999.900
1 - RIO AMAZONAS;;MT;GUARANTÃ DO NORTE;INMET;INMET;;;Pluviométrica;1054001;MATUPÁ;-10.25;-549.167;;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;;;;;;30/11/1986;30/11/1986;30/11/1986;30/11/1986;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1054001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1054001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1054001;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1054001;-54.916.699.999.999.900;-10.249.999.999.999.900
